composer,time_signature,melDiffMean,melDiffVar,noteMeasure,duMean,duVar
bach,4.0,0.00927835051546,12.0236252524,12,1.02207392197,0.505801242996
bach,4.0,-0.023498694517,9.60693258072,13,0.923243712056,0.512511551186
bach,4.0,-0.0455357142857,9.98453364158,15,0.802491103203,0.325647708996
bach,4.0,0.00466079751424,10.4945406799,14,0.959431524548,0.449646188464
bach,4.0,-0.00828937452901,8.67890641815,14,0.978260869565,0.541881233296
bach,4.0,-0.00173510699826,8.27819247813,21,0.608491926182,0.353020087305
bach,4.0,-0.0437017994859,9.08549375169,25,0.553491351698,0.34080859842
bach,4.0,-0.014192139738,12.3400460359,14,0.735914213013,0.21981249573
bach,4.0,-0.00856653340948,9.66811622044,13,0.863247863248,0.590486887282
bach,4.0,0.0105146651909,10.0878805874,15,0.842076200994,0.319068908605
bach,4.0,0.00287081339713,9.41338888762,17,0.799617712647,0.179290498435
bach,6.0,0.000479846449136,7.59261013443,37,1.02963671128,0.780909428251
bach,4.0,0.00042662116041,11.7214162002,32,0.607234042553,0.272277455862
bach,4.0,-0.0103305785124,9.61628446372,14,0.856456043956,0.329898795687
bach,4.0,0.00357142857143,17.6249872449,12,0.590584878745,0.198106790584
bach,2.25,-0.0289634146341,14.726295267,12,0.317541856925,0.0427649620988
bach,4.0,-0.0200553250346,12.6489753773,17,0.43485267035,0.175829394347
bach,4.0,-0.00706357214934,10.3803739203,12,0.573514602216,0.121819503899
bach,2.0,-0.00185414091471,16.3232351283,22,0.306993222428,0.0570503451995
bach,2.0,0.0123311802701,15.3991433031,23,0.295596563171,0.0548881798801
bach,4.0,0.00530785562633,8.53889610126,11,1.10759717314,0.79681507448
beethoven,3.0,-0.00306591722024,15.5053559553,12,0.703005359877,0.448487809313
beethoven,4.5,-0.00244242847174,16.0589612362,26,0.513461817654,0.203774378791
beethoven,3.0,-0.00982800982801,32.6960541064,8,1.12897959184,0.549894877135
beethoven,2.0,0.00405904059041,18.3154816792,14,0.422566371681,0.0807865430383
beethoven,4.0,-0.00260484501172,16.1298881527,11,0.809076903047,0.626737541309
beethoven,4.0,0.00288559992553,19.9423727587,13,0.682260165628,0.282379965005
beethoven,3.0,0.00213405761956,21.6046127705,13,0.737487475355,0.418362202147
handel,4.0,-0.00488145048815,20.1289859343,14,0.960361613352,0.363432275355
handel,4.0,0.0212514757969,11.9145424716,23,0.605633802817,0.1226076382
handel,4.0,-0.0234716157205,14.7074185156,21,0.605606967882,0.109968561911
handel,3.0,0.0123031496063,14.3674667427,14,1.10759803922,0.331437367839
handel,4.0,0.0221962616822,8.54740452223,28,0.437282229965,0.0738829737725
handel,4.0,-0.0183691756272,12.8755586307,38,0.549553571429,0.137388193559
handel,4.0,-0.0967741935484,9.63579604579,5,1.19696969697,1.27559687787
handel,3.0,-0.028941355674,25.6457732129,12,0.534574468085,0.12432702257
handel,3.0,-0.010060362173,18.8000329273,33,0.522014676451,0.0995820651615
handel,4.0,0.0166297117517,6.44872566998,39,0.455898566703,0.0526994957752
handel,4.0,-0.0192131747484,19.1167397286,17,0.597171532847,0.13038433554
handel,4.0,-0.0211912943872,14.517878535,35,0.502142857143,0.0958525510204
handel,4.0,0.238095238095,3.03854875283,5,1.13043478261,1.77646502836
handel,4.0,0.138461538462,8.27313609467,7,0.940298507463,0.983376030296
handel,4.0,-0.0208333333333,9.28602430556,48,0.357326478149,0.025595422975
handel,4.0,-0.0172987358616,15.7761478595,30,0.771645736946,0.422656048985
handel,4.0,0.00318640467339,17.9575044512,37,0.552353252247,0.168828412495
haydn,2.0,0.0358543417367,20.6306472393,15,0.444242593628,0.133833304666
haydn,3.0,0.0546318289786,23.220293273,9,0.953725490196,0.225146251442
haydn,4.0,-0.454545454545,7.33884297521,12,0.708333333333,0.0607638888889
haydn,4.0,0.00295857988166,22.1780977557,17,0.708037825059,0.262312757435
haydn,4.0,-0.0372639101582,12.7974883791,21,0.566543555782,0.228358983966
haydn,3.0,0.00739644970414,18.6316020973,11,0.909448818898,0.21276505053
haydn,2.0,-0.0128165051579,24.7878945056,11,0.556041211364,0.148709210915
haydn,4.0,0.0049504950495,12.6930447995,21,0.601236263736,0.313460582458
haydn,3.0,-0.0172570390554,28.1931626851,8,1.0778280543,0.378558178579
haydn,2.0,-0.00541271989175,15.5182386321,16,0.392559657812,0.109399654065
haydn,3.0,0.00485312899106,16.658213995,19,0.490877774943,0.100245312696
haydn,3.0,0.00193652501345,16.2031162068,35,0.706288261196,0.31581160158
haydn,2.0,0.00541516245487,15.1696457663,28,0.461555755396,0.095728649769
haydn,3.0,0.00353356890459,20.7255469956,18,1.02625437573,0.435425060147
haydn,2.0,-0.0011068068622,20.0741548347,26,0.606847045831,0.209732245517
mozart,3.0,-0.014603960396,15.2346877144,14,0.637982195846,0.303228470504
mozart,3.0,-0.00866336633663,23.7486873223,12,0.79802955665,0.245422533609
mozart,4.0,-0.00326492537313,12.1049333701,40,0.309124767225,0.0662930188838
mozart,2.0,0.00658459776696,15.2272684095,10,0.599370889334,0.128970627001
mozart,3.0,-0.00641241984475,18.1467695457,10,0.855578024941,0.333961976302
mozart,3.0,0.0655737704918,13.7314763583,10,0.921229586936,0.313079564005
mozart,2.0,-0.00604325699746,22.2032077539,16,0.374470563321,0.0728959809915
mozart,4.0,-0.00901687027341,15.8099826867,13,0.894683323649,0.37287847322
mozart,4.0,0.016351744186,17.2021308763,14,0.773040638607,0.407722334101
mozart,3.0,0.0274678111588,20.483365691,16,0.523417450813,0.186269950628
mozart,3.0,-0.0172860847018,27.4811186502,10,0.860465116279,0.366834925786
mozart,4.0,-0.0079561042524,22.3727762066,15,0.743034621357,0.294391931416
mozart,3.0,-0.0132743362832,17.2697352964,11,0.722088353414,0.312942492863
mozart,4.0,-0.0258342303552,24.0144025602,20,0.534237379162,0.373587245119
mozart,3.0,0.0108108108108,35.9722554987,16,0.529958058718,0.193380525503
mozart,3.0,-0.0140306122449,14.9874732099,15,0.596137521222,0.170723621156
schoenberg,4.0,-2.5,11.25,0,0.9,0.14
schoenberg,4.0,-3.19047619048,88.1541950113,2,0.731884057971,0.378596933417
schumann,2.0,-0.00252667040988,13.1956702021,9,0.956393718452,0.428465149529
schumann,3.0,-0.0091533180778,14.2012892145,15,0.526615969582,0.0503372175396
schumann,4.0,0.0172523961661,15.9543349427,13,0.753983428936,0.36777412592
schumann,4.0,0.00313479623824,24.9294572577,19,0.616620890299,0.556792980589
schumann,4.0,0.00155073105893,21.4840472186,13,0.875719344843,0.687760014489
